spot no	proSPK-BC1	proSPK-BC2	pro35S-C1	pro35S-C2	empty vector1	empty vector2	empty vector3	empty vector4
40290	0.01335939	0.005707782	0.005226524	0.004335526	0.01069355	0.006880672	0.008013616	0.006350493
40291	0.002819693	0.005916784	0.005789118	0.004194884	0.0182856	0.05514967	0.006615088	0.0184286
40292	38.64518	38.91314	32.02495	45.19144	63.01878	60.03243	61.96747	76.1023
40293	0.2168045	0.191492	0.1542035	0.2001187	0.1603521	0.1778158	0.07621702	0.137225
40294	0.0230261	0.0263082	0.01733747	0.02282564	0.02484262	0.01944741	0.00991389	0.02080715
40297	2.035889	1.86701	1.721732	2.076251	2.124852	1.840657	1.661055	1.842875
40298	27.80662	24.0702	24.05133	26.727	20.73108	7.778555	18.68962	8.374354
40299	0.513895	0.3863999	0.4529489	0.5152308	0.4482937	0.01032971	1.479717	0.3501621
40300	0.01432763	0.006328804	0.005903983	0.01471611	0.01368963	0.006878228	0.006614946	0.01094983
40301	25.62102	22.82903	21.55543	24.52446	22.3985	20.39958	23.71521	25.77224
40302	2.988458	2.78014	2.600689	3.011426	3.628018	1.259391	2.698118	1.035485
40303	1.458193	1.3184	1.242903	1.477988	1.458228	0.350995	0.9582841	0.41523
40304	1.860519	1.664651	1.546494	1.763742	1.144175	1.417916	1.239631	2.280051
40305	0.02858942	0.01093729	0.01307931	0.02142396	0.01979465	0.01970959	0.01078546	0.03628605
40306	0.04616162	0.03735104	0.03539029	0.04553969	0.1265043	0.06162891	0.02267119	0.09128567
40307	1.279143	1.159548	1.065054	1.299893	1.525612	1.966951	1.545225	2.772781
40308	0.7033648	0.6718989	0.6929052	0.7195641	0.7079889	0.1756454	1.060477	0.1360521
40309	0.2063248	0.1885829	0.1729313	0.2017964	0.1473447	0.119616	0.1598202	0.1200862
40310	0.6647225	0.6698346	0.5597193	0.7856573	0.3320082	1.65833	0.3212872	3.536276
40311	9.998117	9.297784	8.895555	10.35126	15.99588	13.62983	16.16223	6.449801
40312	1.738152	1.549388	1.464056	1.730004	1.996381	2.567866	1.544303	2.927147
40313	0.3167969	0.3187809	0.2848541	0.3411592	0.3426181	0.2743534	0.3756412	0.2930744
40314	6.141599	5.467102	5.222909	6.137095	5.651451	6.138144	5.540858	7.321355
40315	22.84233	21.23296	20.48128	23.82029	29.15037	28.08202	26.69456	24.43709
40317	3.242953	2.898422	2.746819	3.204512	3.347172	2.666957	2.340973	2.94355
40318	0.1282944	0.09587736	0.08739389	0.1098969	0.2747093	0.1071542	0.08310372	0.1436253
40319	5.046089	4.743469	4.187888	5.030091	8.395583	3.176993	9.160649	1.718973
40320	0.09818952	0.08023888	0.06959269	0.09740941	0.1286975	0.1238199	0.1135875	0.1480476
40321	0.2275263	0.2089493	0.1906655	0.2360581	0.182927	0.148762	0.1825894	0.2148061
40322	15.47287	14.17731	13.25113	15.63956	16.92754	15.72477	13.11718	14.2436
40323	46.44203	42.29192	43.54429	48.524	49.60492	48.08824	39.24006	51.73398
40324	0.0391745	0.03280412	0.03276498	0.03944692	0.03405188	0.02275155	0.04006734	0.05185892
40325	0.002591942	0.005364498	0.005485185	0.00393675	0.007498697	0.006381725	0.006171534	0.005687985
40326	0.02175474	0.01366315	0.01394377	0.02262622	0.01873427	0.007069599	0.01308856	0.01158808
40327	0.01806484	0.01951003	0.01155845	0.02040695	0.02508831	0.06240691	0.0237959	0.08567236
40328	0.237489	0.1991043	0.1902488	0.2214166	0.1713867	0.07949733	0.322202	0.05197768
40330	0.7526609	0.6636784	0.655258	0.8248499	0.6937911	0.6200677	0.7835967	0.9593627
40331	0.1068609	0.09042884	0.08001707	0.09401919	0.1526711	0.1280976	0.06370964	0.04821267
40332	2.495364	2.278801	2.156305	2.567406	2.478569	2.54043	2.546134	3.173001
40333	1.276141	1.091154	1.040263	1.237482	1.267523	1.151987	0.9884833	1.191018
40334	2.158307	1.94331	1.862233	2.2411	2.378346	2.051185	2.110121	2.591515
40335	6.477961	5.778114	5.539076	6.591555	8.189447	9.879112	5.531529	9.800853
40336	1.25868	1.156649	1.112425	1.304636	1.556839	1.67356	1.717267	1.855917
40337	0.08182543	0.06932873	0.06241065	0.07844177	0.1445489	0.1947121	0.05939385	0.2354233
40338	0.9727969	0.8751504	0.8560884	0.9990806	0.9766453	0.7847478	0.8480635	0.7942568
40339	0.1152499	0.09657298	0.08688705	0.08888507	0.1018431	0.04876159	0.09078876	0.05116111
40340	1.057134	0.972075	0.8910572	1.119113	1.000145	0.9787799	1.370716	1.276884
40341	9.933881	9.216733	8.769071	10.56642	10.69743	7.173826	9.237192	7.872903
40342	0.3676442	0.3111723	0.3017428	0.3474641	0.2736522	0.1403526	0.2253744	0.211893
40343	1.244299	0.9771351	0.8127701	1.006481	2.385501	1.10388	0.4390986	0.6804509
40344	0.002505188	0.00508524	0.005148164	0.003709614	0.007274009	0.006061804	0.005854474	0.008467426
40345	2.099741	1.855351	1.778632	2.12137	3.035233	1.797709	1.879214	1.719899
40346	0.4866963	0.4558119	0.4130257	0.5066656	0.9886328	0.620064	1.092517	0.5227455
40347	0.02766117	0.02130744	0.02116387	0.0243096	0.0650362	0.02266745	0.06118785	0.01614353
40348	0.009144724	0.006131476	0.005066498	0.005197927	0.01471824	0.04112045	0.02374047	0.02782656
40349	6.707327	6.096283	5.700884	6.640756	5.951376	5.226695	4.610204	7.384261
40350	0.006084919	0.005078677	0.005100354	0.007712802	0.007244388	0.006048805	0.005801456	0.005432908
40351	1.152286	1.05389	1.036369	1.130516	0.9289725	0.8258822	0.9696157	0.6955416
40352	0.1033743	0.08298511	0.0740992	0.09797635	0.7999593	0.9302677	0.02667752	0.3302265
40353	0.04272923	0.03128111	0.02879803	0.03892043	0.09817801	0.03906836	0.1096825	0.02307374
40354	1.360317	1.251772	1.133696	1.387709	1.429379	0.963847	1.104316	1.664822
40355	0.9749801	0.8841345	0.8205671	0.9474814	0.6821216	0.09299198	0.845559	0.1858147
40356	0.005753347	0.005471803	0.008117622	0.008155511	0.007227374	0.006099234	0.009194327	0.005440614
40357	0.06524482	0.06686866	0.04601479	0.06239056	0.01808368	0.09815908	0.02547857	0.1264798
40358	0.4661003	0.4360858	0.3897838	0.4712047	0.7105084	0.7178479	0.5258893	0.8818088
40359	9.427192	8.720111	7.855738	9.670775	9.629606	7.106002	9.976111	7.194472
40360	0.938513	0.8512761	0.7826009	0.9337457	0.9573208	0.9601482	0.8000079	0.9131773
40361	0.7423399	0.68634	0.6131098	0.7204561	0.6284963	0.6105132	0.6371466	0.6378798
40362	6.541016	5.692802	5.631688	6.301381	6.260842	4.433444	5.380592	4.082991
40363	3.23035	2.974972	2.772057	3.296603	3.480397	5.586599	3.477014	4.352012
40365	6.681119	6.298986	5.720928	6.948969	7.568404	5.679358	7.142468	7.996617
40366	6.472848	6.285771	5.873741	7.034508	5.638469	4.839924	4.037998	6.928754
40367	0.6107294	0.5736427	0.5636401	0.6616865	0.5607711	0.2657065	0.5715512	0.4284153
40369	2.240889	2.080728	1.889629	2.311502	4.643141	5.880342	2.510551	7.057431
40370	13.08543	12.21038	11.03974	13.67784	8.078166	7.06526	7.016072	6.744363
40371	0.8745117	0.8060095	0.7280088	0.8966729	1.223417	0.5123604	0.2865917	0.4909221
40372	0.003381162	0.005553342	0.005195591	0.006100596	0.007468272	0.00666011	0.005850553	0.006039987
40374	49.67067	49.43774	46.59165	54.9247	83.37595	81.83395	83.82065	56.89398
40375	47.92106	45.16225	53.11267	48.25479	75.12867	63.79213	68.70585	51.58578
40376	0.003999029	0.0059163	0.005809422	0.004158644	0.008282919	0.006886872	0.006628146	0.02638756
40377	11.45327	10.71156	9.66389	11.9883	9.905846	10.38655	9.594686	13.76934
40378	0.256165	0.2167262	0.2215471	0.2506419	0.223368	0.1977284	0.1667863	0.2858036
40379	1.892754	2.082827	1.960135	2.569301	1.910114	2.245489	2.037064	2.812107
40380	0.0737228	0.09145947	0.06471387	0.09752205	0.08351833	0.09872104	0.1327162	0.1228941
40381	0.01289049	0.008463165	0.01030652	0.01385969	0.01791503	0.01966221	0.009377719	0.01689079
40382	1.05739	0.943996	0.8792301	1.017167	0.9450553	1.067465	0.840765	1.402141
40383	6.062182	5.48457	5.018487	6.153192	6.549374	5.870238	6.213331	6.748637
40384	0.279173	0.2610758	0.2441097	0.267785	0.2276785	0.1606654	0.1224079	0.2456342
40385	0.01653001	0.01143601	0.008294461	0.01775009	0.01288124	0.01234224	0.01692017	0.01000372
40386	8.017969	7.010213	6.619982	7.725527	10.04632	10.6046	7.767757	9.574809
40387	14.70635	15.33765	14.41481	15.77642	24.14742	21.06744	17.09471	18.39532
40388	0.002730133	0.005848654	0.005901718	0.004120441	0.007862936	0.006856907	0.006591355	0.005932277
40389	0.02851219	0.01620541	0.01817572	0.02077012	0.03796967	0.0491008	0.01622893	0.06231821
40390	0.002716499	0.00581505	0.005883765	0.004103269	0.007817215	0.006828265	0.006564801	0.00590792
40391	0.04892056	0.0450171	0.03602907	0.04576367	0.05327605	0.02246119	0.02591361	0.02702626
40392	10.43247	8.924804	8.679145	10.32622	8.213866	8.57043	6.151871	11.40013
40393	1.607433	1.448606	1.324152	1.588381	1.712793	1.483969	1.140463	1.420022
40394	0.004608639	0.005924771	0.005828738	0.004071852	0.007749503	0.006756764	0.006500435	0.005865928
40395	0.05207455	0.04815825	0.0505208	0.0495165	0.07873698	0.1210428	0.08077941	0.07253471
40396	0.4657393	0.4339975	0.3981602	0.4549842	0.3297406	0.3225545	0.3208698	0.3853107
40397	0.007833747	0.005669053	0.00576178	0.00707687	0.01285956	0.006693796	0.008960025	0.007004431
40398	0.00266487	0.00564595	0.005754995	0.004041696	0.007671556	0.006671505	0.00642529	0.005827566
40399	1.700898	1.659212	1.4066	1.977691	2.462693	8.057966	0.3472627	15.8535
40400	0.7354528	0.5910929	0.612389	0.6751037	1.018784	1.076095	1.037052	1.570143
40401	3.119794	2.747571	2.615102	3.028211	3.487422	3.380029	3.072948	3.833411
40402	0.0505284	0.03854	0.03263866	0.04384153	0.1528728	0.09561892	0.006412356	0.02633649
40403	0.02666897	0.02413477	0.02183234	0.02269286	0.007617884	0.06105605	0.006377644	0.02578859
40404	0.007387988	0.005515923	0.005623902	0.004655146	0.05158413	0.05074266	0.006301337	0.02964404
40405	0.3320222	0.2922816	0.2692415	0.3141723	0.326031	0.3971812	0.3287779	0.7418007
40406	0.02781597	0.01818557	0.01846942	0.02369692	0.01838445	0.01369583	0.04202711	0.01863455
40407	0.002610412	0.005432978	0.00555456	0.00396728	0.007543968	0.006456197	0.006237587	0.005730867
40408	0.2859624	0.2441706	0.2227949	0.2591844	0.182744	0.06539911	0.04910065	0.1418432
40409	0.3280219	0.2980841	0.2680293	0.3118616	0.3610177	0.364167	0.290891	0.3363304
